zip_code,total_crimes,violent_crimes,property_crimes,area_sq_mi,crimes_per_sq_mi,violent_per_sq_mi,property_per_sq_mi,crime_score,violent_score,property_score,overall_crime_score
02132,6553,387,1794,9.066612883267364,722.761640357857,42.6840767310378,197.86882081519846,9.671052735284992,9.770367478367666,9.854942614274474,9.7517853651113
02116,8473,1043,2844,1.4938710024381816,5671.841803054627,698.1861206875932,1903.7788372344341,7.418600071128161,6.243886438672633,8.604342109125271,7.303885809268003
02163,35,1,5,0.3362956807560211,104.07508036177283,2.973573724622081,14.867868623110406,9.9526327753185,9.984002717525149,9.989100384058016,9.972729157275706
02135,10921,664,3518,4.846116265634372,2253.5571582227417,137.0169355425236,725.9421374075273,8.974348634898133,9.262873960863118,9.467812724579353,9.198698521406182
02134,4171,352,1259,2.440428732604703,1709.1259188496092,144.236951195172,515.8929589622771,9.222133183796611,9.224031597913822,9.621799515290151,9.32271421161102
02114,6856,690,1643,1.0006332619097011,6851.661104004653,689.5633258114368,1641.9602091423053,6.8816342026665644,6.2902754971359816,8.796281018796941,7.153320359763454
02150,0,0,0,4.514782410089678,0.0,0.0,0.0,10.0,10.0,10.0,10.0
02133,47,3,10,0.023811653012577188,1973.8234878181222,125.98873326498652,419.96244421662175,9.101662566061844,9.322203670956643,9.69212605599009,9.326467825257087
02122,14878,1353,5379,3.481920375466331,4272.929417005235,388.57867328996394,1544.8371645430273,8.055280793058913,7.909517847548118,8.867481801645052,8.207314014276669
02199,2305,195,1431,0.10490643150246341,21971.96079389922,1858.7992862517776,13640.72706987843,0.0,0.0,0.0,0.0
02118,18302,1771,5300,1.9953775105544973,9172.199196990068,887.5513483700912,2656.1389872171,5.825498105049942,5.225136167553536,8.052787821638622,6.1721938560733705
02110,3058,341,1429,0.4993153637805957,6124.385952889918,682.9351242431204,2861.9187464616393,7.212635681295031,6.3259340086134745,7.901930936818351,7.074613909737316
02128,11551,901,2679,11.256182305368974,1026.191624001186,80.04490115358571,238.0025418318048,9.53295400732459,9.569373080000508,9.825520633458488,9.618842339294636
02125,10812,1096,3187,4.5317907718921875,2385.811822350659,241.84699937997803,703.2540027591149,8.91415616260652,8.698907401306053,9.484445367789782,8.981391397447172
02124,14327,1488,3385,5.5621914927993,2575.7833074512882,267.52045518863105,608.573078503707,8.827695292371683,8.560788907294668,9.553855835260011,8.91581819331681
02126,12763,1384,3486,3.3731395009258818,3783.7154367605394,410.3002557765875,1033.458592223399,8.27793455838901,7.792659708816934,9.242372795138252,8.349197920226093
02113,1237,95,307,0.17838676220626823,6934.371052542899,532.5507275598831,1720.9797195882538,6.84399079463663,7.134974542443696,8.73835191425497,7.419425386273688
02129,3666,263,1123,3.3710448041764884,1087.4966703076989,78.01735523484037,333.13114041340583,9.50505251647379,9.580280906002711,9.755781976498138,9.594064817815
02136,10000,889,2592,8.591827488316792,1163.8967395001876,103.47042014156668,301.68203487844863,9.470280895538755,9.443348074712185,9.778837276537388,9.537993503499113
02109,1774,225,531,0.5195317952594827,3414.6129576419225,433.0822522375607,1022.0741152806431,8.445922514757978,7.670096736959372,9.250718740984418,8.375582549085076
02108,3190,440,627,0.5124366403271489,6225.159851886169,858.6427381911957,1223.5659019224538,7.166770908486848,5.380659200043985,9.103005363530555,7.0256904242927725
02210,1888,238,471,2.616943757603324,721.4522645030352,90.94578334307329,179.98094098566185,9.67164866564692,9.510728328681129,9.86805619666484,9.664428430463373
02203,1,0,1,0.017688201323897746,56.534860819847424,0.0,56.534860819847424,9.974269542281567,10.0,9.958554364052421,9.979346407925732
02151,0,0,0,12.817912445978683,0.0,0.0,0.0,10.0,10.0,10.0,10.0
02111,4057,564,862,0.3591010091742897,11297.656916444183,1570.5887357344143,2400.438812416782,4.8581480631527825,1.55052001928908,8.240241300833992,4.546001557220789
02120,3369,321,888,1.1334233315802205,2972.4110190169945,283.2128041271758,783.467196463963,8.647179900374518,8.476366941703171,9.425641175539667,8.782010683630833
02131,4648,428,1125,5.109834200458362,909.6185546652503,83.76005623853854,220.1636992251305,9.586009385690414,9.549386225516374,9.838598266721942,9.636338499887382
02152,0,0,0,5.26940489998204,0.0,0.0,0.0,10.0,10.0,10.0,10.0
02115,4848,474,1478,1.3065053580095936,3710.662164742842,362.79988986965907,1131.2621038551815,8.311182966531984,8.04820298483525,9.1706731627574,8.434012521994482
02130,10984,852,2977,6.704965966382506,1638.1887775526081,127.0699962194849,443.999270827942,9.254418486852812,9.316386674132426,9.674504688383962,9.381128902783464
02215,4390,406,1459,1.8568600336214955,2364.2061978349752,218.64868253325739,785.7350438818288,8.923989433618766,8.823710100652358,9.423978619426457,9.013888963532446
02127,11138,834,3499,4.926657313362608,2260.7620728542092,169.2831359993186,710.2178571482203,8.971069494406736,9.089287707116169,9.479340174823577,9.139513538959248
02119,17416,1689,4528,2.9566247097178087,5890.500726303626,571.2595157743928,1531.4760730766434,7.319082815795305,6.926728345552987,8.877276801132938,7.571307247544901
02121,10883,1144,2446,3.469220142634513,3137.0162608751284,329.75710763954305,705.0575920334985,8.572263854691494,8.225967106408298,9.48312315874246,8.678774818805117
