zip_code,area_sq_mi
02132,9.066612883267364
02116,1.4938710024381816
02163,0.3362956807560211
02135,4.846116265634372
02134,2.440428732604703
02114,1.0006332619097011
02150,4.514782410089678
02133,0.023811653012577188
02122,3.481920375466331
02199,0.10490643150246341
02118,1.9953775105544973
02110,0.4993153637805957
02128,11.256182305368974
02125,4.5317907718921875
02124,5.5621914927993
02126,3.3731395009258818
02113,0.17838676220626823
02129,3.3710448041764884
02136,8.591827488316792
02109,0.5195317952594827
02108,0.5124366403271489
02210,2.616943757603324
02203,0.017688201323897746
02151,12.817912445978683
02111,0.3591010091742897
02120,1.1334233315802205
02131,5.109834200458362
02152,5.26940489998204
02115,1.3065053580095936
02130,6.704965966382506
02215,1.8568600336214955
02127,4.926657313362608
02119,2.9566247097178087
02121,3.469220142634513
