zip_code,composite_score,tier,overall_crime_score,school_score,overall_transit_score,overall_housing_score,diversity_score,overall_healthcare_score,overall_lifestyle_score
02132,7.281585822214784,Good,9.7517853651113,6.0,2.1388475712195505,8.051813778769372,5.4590142746713886,3.498814953663467,8.166666666666666
02116,7.0261204848440055,Good,7.303885809268003,6.5,3.790259601598726,4.042961308970785,6.30231376651429,9.261197871749433,9.666666666666666
02163,7.591789817445707,Good,9.972729157275706,7.5,0.0,6.322365462130122,7.200569852670715,7.47410783767018,8.666666666666666
02135,8.442196482571415,Excellent,9.198698521406182,6.0,6.7793109630633905,7.364638543848683,6.88381042433567,7.97649789890389,9.666666666666666
02134,7.843347143576007,Good,9.32271421161102,6.0,2.5158426309322888,7.545097008838281,6.914694315073559,8.014700294250627,9.333333333333334
02114,7.4099603799527785,Good,7.153320359763454,6.0,5.430134139299952,5.674959094359305,5.362209143476257,9.692307692307692,9.666666666666666
02150,7.447126670851915,Good,10.0,3.5,3.0384460242472846,8.856296246885197,7.832781568220923,4.368223610156909,8.0
02133,7.859405660344634,Good,9.326467825257089,,0.0,8.698740603939875,,9.3007488857161,
02122,7.433322876129706,Good,8.207314014276669,6.0,0.7871822674732053,7.878456638607341,9.158834558501733,6.885089155345819,8.833333333333334
02199,5.369055541138209,Average,0.0,6.0,4.666666666666667,5.028758948719098,5.984305970783513,8.982064876493716,9.666666666666666
02118,6.805353618132497,Good,6.1721938560733705,6.0,0.0,6.27690857413002,8.470499155039763,9.932068571175064,9.666666666666666
02110,6.4895206117047755,Good,7.074613909737316,6.0,3.014137716489633,4.319550885880028,3.595767142875755,8.452595853334206,10.0
02128,7.749765352048034,Good,9.618842339294636,6.5,3.519731223233224,7.738956431742155,7.141781750450271,4.384589556792673,8.166666666666666
02125,7.948210943721117,Good,8.981391397447172,6.0,3.037050691112389,7.739184154697049,9.119189627814263,7.708830303049625,8.166666666666666
02124,7.94967956564931,Good,8.91581819331681,6.0,3.710545918114972,8.458856899377519,8.253830948892837,6.46988654838075,8.0
02126,7.201353154201888,Good,8.349197920226093,6.0,2.3732063787115876,9.004509816134973,5.491969025893488,4.913071848556162,7.166666666666667
02113,6.62525462719471,Good,7.419425386273688,6.0,0.0,7.318602956102952,2.952236146347924,8.78120741437572,9.333333333333334
02129,7.594924856850904,Good,9.594064817815,6.0,1.5822921875674667,7.226842584449831,5.404345228056178,8.399284512331164,9.333333333333334
02136,7.349431829136458,Good,9.537993503499113,6.0,2.14652030429398,8.958695048295507,7.590681707699777,0.5881489385516941,8.333333333333334
02109,6.519420395856006,Good,8.375582549085076,6.0,0.0,5.016954290101981,4.075108206373485,8.479564132603251,9.666666666666666
02108,6.7621405795625975,Good,7.0256904242927725,6.0,5.942199233908205,3.13438404052679,3.841194471990677,9.36725166432081,9.666666666666666
02210,6.958749247636378,Good,9.664428430463373,6.0,2.4810486180193942,4.0624119767851585,3.789473105301695,8.12388474763757,9.666666666666666
02203,7.368454523528374,Good,9.979346407925732,,0.0,6.366785910155599,,9.208227309600492,
02151,7.313731244468519,Good,10.0,6.0,2.098212340218044,8.624616488735601,7.350576022308562,0.3901849345783565,8.0
02111,6.419155103631658,Good,4.546001557220789,6.0,1.8352117703820068,5.921198623536885,6.809309371720147,9.755356202231004,9.666666666666666
02120,7.669301655567759,Good,8.782010683630833,6.0,2.0737905205430067,5.890691297344593,9.036772209422162,9.47581592834131,9.333333333333334
02131,7.511625422879314,Good,9.636338499887382,6.0,0.7487878685585425,8.420625513967678,7.359303008266468,5.035005473368389,8.666666666666666
02152,7.160470220616009,Good,10.0,7.5,0.0,8.554199063141862,4.648778169616233,1.5141925769268003,8.333333333333334
02115,8.197556658402284,Excellent,8.434012521994482,6.0,8.890636085750328,4.479810938169598,7.526507359369395,9.401785248035878,9.666666666666666
02130,8.099494571919717,Excellent,9.381128902783464,6.0,4.375505911392047,7.328827667837585,7.0804207153010985,7.907455210840826,9.333333333333334
02215,8.727529146858698,Excellent,9.013888963532446,7.5,7.141227168783898,6.493938305619725,7.059551261075749,9.314633767598153,9.666666666666666
02127,7.321902004476218,Good,9.139513538959248,6.0,1.503682395311604,7.106946824968065,4.966783362550883,7.600702258576309,9.333333333333334
02119,7.362006223338887,Good,7.571307247544901,6.0,1.6171879088772847,7.557120261075404,8.155548085241403,8.829556977151805,8.166666666666666
02121,7.442414659692159,Good,8.678774818805117,6.0,0.7876234548661009,8.39920577864037,7.50771325718916,7.572982886473071,7.666666666666667
